plan_id,plan_name,plan_description,coverage_details,is_active,created_at,updated_at
1,Basic Formula,Essential health coverage for everyday needs,"Coverage includes: GP visits (70%), specialist consultations (50%), basic medications (60%), emergency care (80%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
2,Balanced Formula,Well-rounded protection for individuals and families,"Coverage includes: GP visits (80%), specialist consultations (70%), medications (70%), emergency care (90%), basic dental (50%), basic optical (50%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
3,Comprehensive Formula,Complete health protection with enhanced benefits,"Coverage includes: GP visits (90%), specialist consultations (85%), medications (80%), emergency care (100%), dental (70%), optical (70%), alternative therapies (50%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
4,Premium Formula,Top-tier coverage with maximum benefits,"Coverage includes: GP visits (100%), specialist consultations (100%), medications (90%), emergency care (100%), dental (80%), optical (80%), alternative therapies (70%), private room (100%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
5,Student Formula,Affordable coverage designed for students,"Coverage includes: GP visits (70%), specialist consultations (60%), basic medications (60%), emergency care (80%), mental health services (70%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
6,Senior Formula,Tailored coverage for seniors with focus on chronic care,"Coverage includes: GP visits (90%), specialist consultations (85%), medications (85%), emergency care (90%), chronic disease management (90%), dental (60%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
7,Family Formula,Comprehensive coverage for the whole family,"Coverage includes: GP visits (85%), specialist consultations (80%), medications (75%), emergency care (95%), dental (65%), optical (65%), maternity care (80%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
8,Dental Plus,Supplementary dental coverage,"Coverage includes: routine check-ups (100%), basic dental work (80%), major dental work (70%), orthodontics (50%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
9,Optical Plus,Supplementary vision coverage,"Coverage includes: eye exams (100%), frames (80% up to 200€), lenses (90%), contact lenses (70%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
10,Maternity Formula,Enhanced coverage for pregnancy and newborn care,"Coverage includes: prenatal visits (100%), childbirth (90%), postnatal care (90%), newborn care (90%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
11,Sports Formula,Coverage tailored for athletes and active individuals,"Coverage includes: GP visits (80%), specialist consultations (80%), sports injuries (85%), physiotherapy (80%), emergency care (95%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
12,International Formula,Coverage for international travel and expatriates,"Coverage includes: emergency care worldwide (90%), repatriation, international hospitalization (85%), medications (75%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
13,Corporate Basic,Entry-level coverage for businesses,"Coverage includes: GP visits (75%), specialist consultations (65%), medications (65%), emergency care (85%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
14,Corporate Premium,Enhanced coverage for corporate employees,"Coverage includes: GP visits (90%), specialist consultations (85%), medications (80%), emergency care (100%), dental (70%), optical (70%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
15,Eco Formula,Basic coverage with focus on preventive care,"Coverage includes: GP visits (70%), preventive care (90%), basic medications (60%), emergency care (80%)",TRUE,'2025-03-19 21:00:00','2025-03-19 21:00:00'
